date_of_birth,sub_position,position,foot,height_in_cm,current_club_id,player_club_domestic_competition_id
2004-09-10,Right-Back,Defender,right,,173,DK1
2005-01-16,Goalkeeper,Goalkeeper,right,191.0,1090,NL1
1995-08-19,Left Winger,Attack,right,174.0,2381,TR1
1996-07-15,Central Midfield,Midfield,right,180.0,601,BE1
1989-12-28,Central Midfield,Midfield,left,177.0,703,GB1
2000-05-29,Centre-Back,Defender,right,190.0,126,TR1
1999-01-23,Goalkeeper,Goalkeeper,right,190.0,2441,GR1
2004-11-11,Attacking Midfield,Midfield,right,189.0,3329,PO1
2003-06-30,Central Midfield,Midfield,right,183.0,405,GB1
1998-04-12,Attacking Midfield,Midfield,left,177.0,720,PO1
2001-02-08,Central Midfield,Midfield,right,180.0,621,ES1
1996-03-22,Left Winger,Attack,right,188.0,10484,TR1
2000-01-05,Left-Back,Defender,left,183.0,1005,IT1
1992-10-24,Centre-Back,Defender,left,191.0,114,TR1
2001-03-29,Defensive Midfield,Midfield,right,178.0,417,FR1
2002-01-19,Centre-Forward,Attack,right,182.0,3329,PO1
1990-01-08,Goalkeeper,Goalkeeper,right,196.0,405,GB1
